pk_customerkey;costumer_name;birth_date;marital_status;gender;yearly_income;number_children_at_home;occupation;number_cars_owned;address_line;phone;fk_date_first_purchase
11053;Ana Price;20/08/2000;M;F;60000;0;Skilled Manual;2;1660 Stonyhill Circle;859-555-0113;20180721
11054;Deanna Munoz;10/03/1972;M;F;40000;0;Skilled Manual;2;5825 B Way;1 (11) 500 555-0192;20160806
11055;Gilbert Raje;05/03/1972;M;M;40000;0;Skilled Manual;2;8811 The Trees Dr.;1 (11) 500 555-0129;20160803
11056;Michele Nath;03/04/1973;M;F;40000;0;Skilled Manual;2;5464 Janin Pl.;1 (11) 500 555-0178;20160829
11057;Carl Andersen;12/10/1973;M;M;70000;0;Management;2;6930 Lake Nadine Place;1 (11) 500 555-0181;20160825
11058;Marc Diaz;27/04/1974;M;M;80000;0;Skilled Manual;2;6645 Sinaloa;1 (11) 500 555-0149;20160909
11059;Ashlee Andersen;01/04/1974;S;F;80000;0;Skilled Manual;2;8255 Highland Road;1 (11) 500 555-0112;20180822
11060;Jon Zhou;17/03/1974;M;M;80000;0;Skilled Manual;2;6574 Hemlock Ave.;1 (11) 500 555-0174;20160919
11061;Todd Gao;27/02/1974;M;M;80000;0;Skilled Manual;2;8808 Geneva Ave;1 (11) 500 555-0191;20160913
11062;Noah Powell;02/09/1995;M;M;40000;0;Skilled Manual;2;9794 Marion Ct;767-555-0113;20180711
11063;Angela Murphy;07/04/1995;S;F;40000;0;Skilled Manual;2;4927 Virgil Street;451-555-0162;20180716
11064;Chase Reed;07/12/1995;M;M;40000;0;Skilled Manual;2;2721 Alexander Pl.;892-555-0184;20180729
11065;Jessica Henderson;09/10/1993;M;F;60000;0;Skilled Manual;2;9343 Ironwood Way;278-555-0186;20180814
11066;Grace Butler;27/11/1993;M;F;70000;0;Professional;2;4739 Garden Ave.;712-555-0141;20181202
11067;Caleb Carter;25/09/1996;S;M;60000;0;Professional;2;9563 Pennsylvania Blvd.;944-555-0167;20190219
11068;Tiffany Liang;23/09/1975;S;F;80000;0;Skilled Manual;2;3608 Sinclair Avenue;1 (11) 500 555-0177;20181101
11069;Carolyn Navarro;21/09/1975;S;F;80000;0;Skilled Manual;2;4606 Springwood Court;1 (11) 500 555-0145;20161018
11070;Willie Raji;05/04/1975;M;M;80000;0;Skilled Manual;2;6260 Vernal Drive;1 (11) 500 555-0151;20161029
11071;Linda Serrano;26/06/1975;S;F;80000;0;Skilled Manual;2;9808 Shaw Rd.;1 (11) 500 555-0130;20180902
11072;Casey Luo;06/02/1975;S;F;80000;0;Skilled Manual;2;9513 Roslyn Drive;1 (11) 500 555-0125;20161001
11073;Amy Ye;14/08/1976;S;F;70000;0;Skilled Manual;2;2262 Kirkwood Ct.;1 (11) 500 555-0185;20180924
11074;Levi Arun;28/08/1976;S;M;70000;0;Skilled Manual;2;4661 Bluetail;1 (11) 500 555-0127;20180924
11075;Felicia Jimenez;16/11/1977;S;F;80000;0;Professional;2;786 Eastgate Ave;1 (11) 500 555-0165;20161029
11076;Blake Anderson;13/07/1977;S;M;80000;0;Professional;2;5436 Clear;1 (11) 500 555-0113;20161022
11077;Leah Ye;19/09/1977;S;F;80000;0;Professional;2;1291 Arguello Blvd.;1 (11) 500 555-0154;20161016
11078;Gina Martin;10/01/1994;S;F;40000;0;Professional;2;1349 Sol St.;196-555-0114;20180819
11079;Donald Gonzalez;11/03/1979;S;M;160000;0;Management;2;4236 Malibu Place;1 (11) 500 555-0137;20180916
11080;Damien Chander;17/07/1979;M;M;170000;0;Management;2;9941 Stonehedge Dr.;1 (11) 500 555-0111;20161011
11081;Savannah Baker;24/07/1986;M;F;120000;2;Management;3;1210 Trafalgar Circle;478-555-0117;20180816
11082;Angela Butler;04/08/1986;S;F;130000;1;Management;3;6040 Listing Ct;579-555-0195;20180726
11083;Alyssa Cox;15/03/1986;M;F;130000;1;Management;3;867 La Orinda Place;561-555-0140;20180710
11084;Lucas Phillips;12/09/1977;S;M;80000;0;Skilled Manual;2;8668 St. Celestine Court;863-555-0172;20180708
11085;Emily Johnson;19/07/1977;S;F;60000;0;Professional;2;7926 Stephanie Way;850-555-0184;20190608
11086;Ryan Brown;23/12/1977;M;M;70000;1;Professional;0;2939 Wesley Ct.;539-555-0198;20190103
11087;Tamara Liang;03/10/1977;M;F;70000;2;Professional;0;3791 Rossmor Parkway;178-555-0152;20180829
11088;Hunter Davis;25/11/1977;M;M;80000;1;Management;0;4308 Sand Pointe Lane;612-555-0141;20180717
11089;Abigail Price;05/02/1977;S;F;80000;1;Management;1;2685 Blackburn Ct;532-555-0117;20180702
11090;Trevor Bryant;17/12/1977;S;M;90000;0;Professional;1;5781 Sharon Dr.;853-555-0174;20170207
11091;Dalton Perez;04/04/1977;M;M;90000;0;Professional;1;6083 San Jose;559-555-0115;20180802
11092;Cheryl Diaz;06/05/1987;M;F;90000;2;Professional;0;7297 Kaywood Drive;1 (11) 500 555-0192;20161009
11093;Aimee He;10/09/1987;M;F;100000;0;Management;0;1833 Olympic Drive;1 (11) 500 555-0161;20161008
11094;Cedric Ma;01/04/1982;S;M;70000;0;Skilled Manual;1;3407 Oak Brook Place;1 (11) 500 555-0115;20181009
11095;Chad Kumar;01/09/1982;S;M;70000;0;Skilled Manual;1;1681 Lighthouse Way;1 (11) 500 555-0151;20161002
11096;Andrés Anand;10/08/1982;M;M;60000;0;Professional;1;5423 Los Gatos Ct.;1 (11) 500 555-0184;20161012
11097;Edwin Nara;27/10/1981;M;M;60000;0;Skilled Manual;1;719 William Way;1 (11) 500 555-0112;20161005
11098;Mallory Rubio;01/05/1981;S;F;60000;0;Skilled Manual;1;6452 Harris Circle;1 (11) 500 555-0157;20180815
11099;Adam Ross;08/03/1981;M;M;60000;0;Professional;1;4378 Westminster Place;1 (11) 500 555-0186;20161008
11100;Latasha Navarro;15/09/1980;S;F;60000;0;Skilled Manual;1;6954 Ranch Road;1 (11) 500 555-0123;20161017
11101;Abby Sai;08/05/1985;S;F;70000;0;Professional;1;7074 N. Spoonwood Court;1 (11) 500 555-0174;20161030
11102;Julia Nelson;21/04/1985;S;F;80000;5;Professional;4;2196 Coat Ct.;1 (11) 500 555-0124;20190117
11103;Cassie Chande;17/10/1984;S;F;70000;0;Professional;1;9448 San Marino Ct.;1 (11) 500 555-0166;20161016
11104;Edgar Sara;11/03/1984;M;M;70000;0;Professional;1;6127 Lilly Lane;1 (11) 500 555-0125;20161104
11105;Candace Fernandez;28/12/1984;S;F;70000;0;Professional;1;5029 Blue Ridge;1 (11) 500 555-0162;20161114
11106;Jessie Liu;11/09/1984;S;M;70000;0;Professional;1;3063 Blue Jay Drive;1 (11) 500 555-0163;20161118
11107;Bianca Lin;09/09/1979;M;F;90000;0;Professional;1;7530 Eola;1 (11) 500 555-0121;20161101
11108;Kari Alvarez;14/07/1983;S;F;70000;0;Professional;2;9178 Thornhill Place;1 (11) 500 555-0169;20161103
11109;Ruben Kapoor;05/11/1983;S;M;70000;0;Professional;2;1984 Glendale Circle;1 (11) 500 555-0132;20161110
11110;Curtis Yang;06/06/1982;M;M;60000;0;Skilled Manual;1;4052 Mt. Wilson Way;1 (11) 500 555-0127;20161101
11111;Meredith Gutierrez;23/02/1982;M;F;60000;0;Skilled Manual;1;7610 Northridge Ct.;1 (11) 500 555-0179;20161120
11112;Crystal Wang;09/09/1982;M;F;60000;0;Skilled Manual;1;2773 Kirkwood Dr;1 (11) 500 555-0134;20161125
11113;Micheal Blanco;21/02/1982;M;M;70000;4;Professional;2;596 Marfargoa Drive;1 (11) 500 555-0131;20180805
11114;Leslie Moreno;28/05/1982;S;F;70000;4;Skilled Manual;2;7941 Cristobal;1 (11) 500 555-0115;20180919
11115;Alvin Cai;12/02/1982;M;M;70000;4;Skilled Manual;2;7759 Azalea Avenue;1 (11) 500 555-0191;20180814
11116;Clinton Carlson;07/10/1982;M;M;70000;4;Skilled Manual;2;7943 Cunha Ct.;1 (11) 500 555-0184;20180916
11117;April Deng;21/02/1981;M;F;70000;4;Skilled Manual;3;485 Ash Lane;1 (11) 500 555-0182;20161106
11118;Alvin Zeng;03/07/1977;S;M;80000;0;Skilled Manual;1;3853 Wildcat Circle;1 (11) 500 555-0174;20190111
11119;Evan James;10/04/1955;S;M;30000;0;Clerical;2;4157 Sierra Ridge;1 (11) 500 555-0187;20180807
11120;Beth Jiménez;09/08/1956;S;F;40000;0;Management;1;7401 Las Palmas;1 (11) 500 555-0164;20161114
11121;Orlando Suarez;18/11/1980;M;M;70000;4;Skilled Manual;3;7743 Hames Dr;1 (11) 500 555-0198;20181226
11122;Byron Vazquez;02/04/1980;M;M;70000;4;Skilled Manual;3;3187 Hackamore Lane;1 (11) 500 555-0136;20180825
11123;Philip Alvarez;20/06/1980;M;M;70000;4;Skilled Manual;3;2775 Mt. Olivet Pl.;1 (11) 500 555-0191;20181019
11124;Ross Jordan;27/07/1977;S;M;80000;0;Skilled Manual;1;6973 Dublin Court;1 (11) 500 555-0126;20161105
11125;Dana Navarro;08/04/1976;S;F;70000;0;Skilled Manual;1;8481 Zartop Street;1 (11) 500 555-0172;20180804
11126;Shaun Carson;07/04/1969;M;M;10000;1;Skilled Manual;2;57 Wolf Way;1 (11) 500 555-0155;20161128
11127;Jan Edwards;21/10/1995;M;F;40000;0;Skilled Manual;1;9409 The Alameda;111-555-0118;20181012
11128;Samantha Long;05/12/1995;M;F;40000;0;Skilled Manual;1;1606 Alderwood Lane;175-555-0139;20181221
11129;Julia Wright;05/08/1995;S;F;40000;0;Skilled Manual;1;7397 Central Blvd.;456-555-0174;20170206
11130;Caroline Russell;06/01/2000;M;F;30000;0;Skilled Manual;2;3884 Bates Court;424-555-0137;20190611
11131;Amanda Rivera;12/03/2000;M;F;30000;0;Skilled Manual;2;9573 Royal Oak Rd.;918-555-0126;20190420
11132;Melissa Richardson;26/10/2000;S;F;30000;0;Skilled Manual;2;6832 Fruitwood Dr;928-555-0118;20181011
11133;Angela Griffin;08/09/2000;S;F;30000;0;Clerical;2;3828 Baltic Sea Ct;598-555-0174;20190702
11134;Larry Townsend;26/02/1966;S;M;10000;0;Skilled Manual;2;7034 Carson;1 (11) 500 555-0130;20161103
11135;Marcus Harris;03/11/1999;S;M;30000;0;Clerical;2;9068 Quiet Place Drive;442-555-0119;20181020
11136;Brianna Morgan;26/10/1998;S;F;40000;0;Skilled Manual;2;9005 Eagle Ct.;954-555-0117;20180707
11137;Jasmine Taylor;20/07/1998;M;F;40000;0;Skilled Manual;2;2457 Matterhorn Court;557-555-0146;20190201
11138;Lauren Davis;15/09/1998;M;F;40000;0;Skilled Manual;2;8105 Pembrook Court;832-555-0121;20190322
11139;Tanya Moreno;09/11/1958;S;F;30000;0;Clerical;2;6155 Wilbur Drive;1 (11) 500 555-0185;20190317
11140;Javier Alvarez;11/02/1997;S;M;30000;0;Clerical;2;8935 Etcheverry Dr.;763-555-0134;20180920
11141;Nicole Ramirez;21/06/1997;M;F;40000;0;Skilled Manual;2;1101 C Street;152-555-0162;20181117
11142;Eduardo Patterson;14/08/1997;S;M;40000;0;Skilled Manual;2;6255 Macalvey Dr.;190-555-0184;20180817
11143;Jonathan Henderson;04/02/1997;M;M;40000;0;Skilled Manual;2;165 East Lane Road;149-555-0113;20181217
11144;Edward Hernandez;09/09/1999;S;M;40000;0;Skilled Manual;2;7607 Pine Hollow Road;178-555-0196;20180729
11145;Jasmine Coleman;08/12/1999;S;F;40000;0;Skilled Manual;2;1961 Oak Grove Road;857-555-0115;20180729
11146;Karla Goel;26/08/1959;S;F;40000;0;Management;2;3272 Corrie Lane;1 (11) 500 555-0137;20180809
11147;Ernest Wu;05/02/1959;M;M;60000;0;Management;1;1832 RiverRock Dr;1 (11) 500 555-0139;20161113
11148;Ross Vazquez;16/08/1961;M;M;40000;0;Management;2;1201 Paso Del Rio Way;1 (11) 500 555-0163;20180908
11149;Theodore Gill;20/04/1961;M;M;40000;0;Management;2;9120 Pinewood Court;1 (11) 500 555-0194;20181206
11150;Russell Shen;15/03/1961;S;M;40000;0;Management;2;4755 Easley Drive;1 (11) 500 555-0191;20180928
11151;Melinda Gill;25/02/1962;S;F;60000;0;Management;1;805 Rainier Dr.;1 (11) 500 555-0117;20161115
11152;James Williams;10/01/1996;S;M;40000;0;Skilled Manual;2;6827 Seagull Court;355-555-0153;20180713
11153;Angela James;23/06/1996;M;F;40000;0;Skilled Manual;2;8877 Weatherly Drive;847-555-0111;20180930
11154;Megan Walker;21/08/1996;S;F;40000;0;Skilled Manual;1;6898 Holiday Hills;918-555-0186;20180714
11155;Hunter Robinson;26/01/1996;S;M;40000;0;Skilled Manual;1;8356 Mori Court;891-555-0125;20180710
11156;Maria Roberts;07/02/1996;S;F;40000;0;Skilled Manual;1;9452 Mariposa Ct.;158-555-0199;20180712
11157;Hannah Long;11/06/1995;M;F;40000;0;Skilled Manual;2;1832 Preston Ct.;974-555-0177;20190125
11158;Jason Wright;08/10/1995;S;M;40000;0;Skilled Manual;2;6771 Bundros Court;694-555-0176;20180723
11159;Brianna Hughes;17/09/1995;S;F;40000;0;Skilled Manual;2;6793 Bonifacio St.;319-555-0183;20190311
11160;Maurice Tang;08/01/1994;S;M;40000;0;Skilled Manual;1;2886 Chaparral Court;947-555-0172;20180825
11161;Emily Wood;22/04/1994;S;F;40000;0;Skilled Manual;1;1562 Black Walnut;184-555-0114;20181203
11162;Chase Cox;05/03/1994;S;M;40000;0;Skilled Manual;1;P.O. Box 8070;764-555-0116;20180822
11163;Gabriel Wang;20/12/1994;M;M;40000;0;Skilled Manual;1;8002 Crane Court;617-555-0150;20181102
11164;Devin Brooks;05/05/1994;S;M;40000;0;Skilled Manual;1;4231 Highland Dr.;502-555-0138;20181029
11165;Jocelyn Alexander;18/07/1993;M;F;60000;0;Skilled Manual;1;3376 Bank Way;354-555-0134;20181126
11166;Ashley Martinez;24/04/1992;S;F;70000;0;Skilled Manual;2;6993 Whyte Park Ave.;131-555-0194;20190416
11167;Jasmine Barnes;01/08/1992;S;F;80000;0;Management;1;9183 Via Del Sol;178-555-0156;20180711
11168;David Rodriguez;15/05/1988;S;M;80000;0;Management;1;38 Shangri-la Rd.;730-555-0128;20180719
11169;Bryce Richardson;22/06/1988;M;M;90000;4;Management;1;1841 Blackwood Drive;178-555-0176;20181127
11170;Carol Howard;05/02/1988;M;F;90000;4;Management;1;6281 Edward Ave;845-555-0127;20190227
11171;Jonathan Hill;09/10/1987;S;M;100000;0;Management;2;3731 Chinquapin Ct;134-555-0196;20170220
11172;Gabrielle Adams;21/11/1987;M;F;100000;0;Management;2;5621 Arcadia Pl.;403-555-0152;20181104
11173;Sarah Thomas;01/09/1987;S;F;110000;0;Management;4;5636 Mt. Whitney Dr.;868-555-0188;20180903
11174;Nicholas Robinson;13/07/1987;M;M;110000;1;Management;0;1318 Lasalle Street;949-555-0138;20190114
11175;Luis Wang;05/03/1983;S;M;70000;0;Skilled Manual;2;6943 Patterson Blvd.;418-555-0127;20170228
11176;Mason Roberts;25/01/1988;M;M;90000;4;Management;1;5753 Megan Dr.;539-555-0162;20180806
11177;Jose Flores;04/07/1962;M;M;110000;4;Management;2;3991 Rambling Rose Drive;157-555-0182;20180930
11178;Nathan Johnson;24/08/1963;M;M;100000;3;Management;3;8927 Daylight Place;117-555-0182;20180825
11179;Molly Rodriguez;14/06/1963;M;F;120000;4;Management;3;5556 Riverland Dr.;135-555-0185;20180913
11180;April Anand;02/01/1963;M;F;160000;3;Management;4;3531 Brookview Drive;702-555-0144;20180918
11181;Devin Martin;08/08/1963;M;M;170000;3;Management;2;1085 Greenbelt Way;735-555-0197;20181108
11182;Stephanie Torres;25/08/1964;S;F;70000;0;Management;2;6968 Mildred Ln.;567-555-0176;20190228
11183;Jasmine Lee;15/07/1964;S;F;70000;0;Management;2;7502 Contuti Avenue;147-555-0199;20181101
11184;Meghan Hernandez;16/11/1964;S;F;70000;0;Management;2;5872 L St.;967-555-0188;20190211
11185;Ashley Henderson;08/10/1964;S;F;70000;0;Management;2;8834 San Jose Ave.;173-555-0121;20180825
11186;Sarah Price;21/05/1964;S;F;70000;0;Management;2;4815 Paraiso Ct.;180-555-0133;20190420
11187;Jennifer Cooper;22/02/1964;M;F;60000;0;Management;2;2429 Longview Road;857-555-0111;20181005
11188;Catherine Morris;06/09/1964;M;F;60000;0;Management;2;6542 Stonewood Drive;795-555-0117;20190504
11189;Lawrence Blanco;15/07/1964;S;M;60000;0;Management;2;7502 Contuti Avenue;656-555-0171;20170226
11190;Carson Bryant;22/06/1964;M;M;70000;0;Management;2;2995 Youngsdale Dr.;240-555-0142;20190228
11191;Kristi Perez;18/12/1965;S;F;70000;0;Management;3;1769 Lislin Ct;123-555-0181;20170211
11192;James Brown;13/09/1965;M;M;60000;0;Management;2;673 Old Mountain View Dr.;725-555-0117;20181225
11193;Ian Gray;13/02/1965;M;M;60000;0;Management;2;5941 Gill Dr.;596-555-0190;20180829
11194;Jacqueline Price;10/06/1965;M;F;60000;0;Management;2;872 Mark Twain Dr;266-555-0112;20180914
11195;Megan Henderson;10/02/1966;M;F;60000;0;Management;3;8411 Mt. Olivet Place;560-555-0150;20181016
11196;Alfredo Romero;07/06/1966;M;M;60000;0;Management;3;2499 Greendell Pl;342-555-0110;20180904
11197;Andrea Morris;18/06/1966;M;F;70000;1;Management;1;1883 Green View Court;715-555-0178;20181103
11198;Brooke Sanders;26/11/1966;S;F;70000;1;Management;1;5192 Dumbarton Drive;215-555-0156;20180809
11199;Jacqueline Bennett;06/11/1966;M;F;70000;1;Management;1;8948 Chinquapin Court;413-555-0174;20180919
11200;Jason Griffin;22/11/1967;M;M;70000;1;Management;1;7239 Nicholas Drive;232-555-0160;20180811
11201;Amanda Foster;18/08/1967;M;F;70000;1;Management;1;3984 San Francisco;505-555-0159;20190102
11202;Alexia Price;26/08/1967;M;F;80000;0;Management;2;2079 Wellington Ct;552-555-0118;20190318
11203;Luis Diaz;21/08/1968;M;M;40000;1;Professional;2;3682 Diablo View Road;171-555-0126;20180824
11204;Destiny Rivera;01/06/1968;M;F;40000;1;Professional;2;6965 Appalachian Drive;743-555-0111;20190210
11205;Abby Fernandez;24/07/1968;M;F;40000;1;Professional;2;8330 Glenside Court;134-555-0119;20190128
11206;Blake Flores;24/09/1968;M;M;60000;1;Professional;1;9410 Ferry St.;975-555-0163;20181112
11207;Danielle Cox;19/07/1968;S;F;60000;1;Professional;1;2346 Wren Ave;396-555-0158;20180804
11208;Maria Reed;04/02/1968;M;F;60000;1;Management;0;1413 Bridgeview St;156-555-0163;20180905
11209;Allison Evans;13/01/1968;M;F;60000;1;Management;0;3515 Sutton Circle;988-555-0151;20180926
11210;Edward Wood;08/06/1968;M;M;70000;1;Professional;2;1039 Adelaide St.;229-555-0114;20181107
11211;Samantha Russell;12/10/1969;M;F;40000;1;Professional;2;9256 Village Oaks Dr.;547-555-0121;20180805
11212;Chloe Campbell;05/11/1969;M;F;40000;1;Professional;2;3562 East Ave.;205-555-0169;20180803
11213;Stephanie Murphy;14/05/1969;S;F;60000;1;Professional;2;5514 Grant Street;293-555-0151;20180929
11214;Charles Miller;07/11/1969;S;M;60000;1;Professional;2;2719 Little Dr;389-555-0115;20190215
11215;Ana Perry;21/06/1970;M;F;40000;1;Skilled Manual;2;3114 Arlington Way;446-555-0134;20180819
11216;Jasmine Torres;20/05/1970;S;F;60000;1;Professional;2;8328 San Francisco;939-555-0130;20170215
11217;Natalie Adams;11/02/1970;S;F;60000;1;Professional;2;6592 Bent Tree Lane;300-555-0150;20170210
11218;Olivia Brown;11/09/1970;S;F;60000;1;Professional;2;3964 Stony Hill Circle;414-555-0147;20180901
11219;Charles Cook;02/12/1970;M;M;60000;1;Professional;2;6871 Bel Air Dr.;755-555-0111;20190501
11220;Erica Huang;23/02/1970;M;F;60000;1;Professional;1;9142 All Ways Drive;618-555-0157;20180915
11221;Nathan Perry;10/06/1970;M;M;70000;2;Professional;1;9714 Nicholas Drive;271-555-0191;20181009
11222;Alexandra Rivera;17/08/1970;M;F;80000;1;Management;1;4999 Corte Segunda;488-555-0143;20190504
11223;Hailey Patterson;16/09/1971;S;F;70000;1;Professional;2;5045 Vancouver Way;480-555-0126;20180802
11224;Tiffany Li;06/09/1971;S;F;70000;1;Professional;2;6404 Del Mar Ave;197-555-0118;20170207
11225;Madison Lee;16/02/1971;M;F;60000;1;Professional;1;5927 Seaview Avenue;471-555-0142;20181224
11226;Sydney Ross;27/09/1971;M;F;60000;1;Professional;1;5252 Santa Fe;219-555-0146;20180825
11227;Marshall Chavez;12/08/1971;S;M;60000;1;Professional;2;9022 Estudillo Street;712-555-0116;20170203
11228;Ashley Jones;19/04/1971;M;F;60000;1;Professional;2;7681 Willow Pass Road;996-555-0169;20190427
11229;Adrian Stewart;03/12/1971;S;M;70000;2;Professional;1;6898 Shaw Rd.;812-555-0122;20190128
11230;Amber Turner;03/04/1971;M;F;70000;2;Professional;2;6345 Ridge Circle;155-555-0131;20190117
11231;Dennis Zhang;14/11/1972;M;M;60000;1;Professional;2;3951 Calle Verde Drive;710-555-0134;20180814
11232;Hailey Bryant;27/09/1972;M;F;60000;1;Professional;2;2828 Rogers Ave.;156-555-0195;20190323
